שם נהג,תעודת זהות,טלפון נהג,שם מעסיק,טלפון מעסיק,אירועים חריגים,סטטוס
עדן יהודה,588125571,547354000,זועבי LLC,22163968,לורם ולחת אקווזמן קורוס.,מנוע
הודיה יפרח,449120140,90803513,"זוהר, פרידמן and גליק",09-4864-753,התידם לרטי אגת.,מנוע
יאסין רון חסון,629979615,057 1113126,יוסף Inc,058-6023732,שהכים וולופטה כאנה לתיג.,מנוע
ינון ברמן,418516116,058 9784430,מושקוביץ Ltd,03-2633-408,ישבעס איף ותלברו הדש שערש לתכי.,מנוע
משה לביא,402974611,08-3184-535,"כהן, לוי and אשכנזי",28855902,בעליק ברומץ תצטריק בלינדו גולר.,מנוע
ליאן עדוי,329198718,08-2365-992,"כהן, שבתאי and מזור",28957740,לרטי בעריר קונסקטורר ערששף.,מנוע
מאיה נסאר,184581157,92963546,בשארה LLC,08-5734-524,ומרגשח לפתיעם סוברט.,מנוע
אבראהים מחאג'נה,126376125,08-0035-105,"טייב, רוזן and גבאי",052-5425660,קלאצי לפריקך עמחליף תצטנפל ניצאחו.,מנוע
מוריה אסדי,519080223,04-0829-821,גולדנברג-פלדמן,04-3028-216,אקווזמן מנורך נמרגי מורגם איאקוליס ולחת.,מנוע
חנה מזרחי,138994060,515427385,סיני Group,054-760-4848,תוק סילקוף מא דס נונסטי לורם.,מנוע
טליה כהן,122209029,90494388,ח'טיב-פרידמן,93195398,בעריר קולורס בעליק קוויז צוט.,מנוע
אדל ביטון,469991227,054 457-6962,עטיה PLC,02-7250-749,אלמנקום שהכים הועניב צופעט.,מנוע
אודל מיכאלי,722434129,03-8896-644,אבו ריא-עוז,94888553,סת קוויז סחטיר בעליק נובש.,מנוע
מאיה חאג יחיא,139051094,059-3058235,"ניסן, אביטל and סימן טוב",08-4261-973,קולורס קלאצי ערששף אקווזמן ברשג.,מנוע
אור טל,523851264,94659514,כהן LLC,86666097,צופעט בלובק נמרגי וחאית אדנדום.,מנוע
יוסף אגבאריה,707651275,055 013-1870,שוקרון-פרץ,25624629,טידום התידם איפסום.,מנוע
איתי כהן,789227770,02-8086-259,אטיאס and Sons,93454487,סחטיר להאמית בעליק.,מנוע
אמילי כהן,913565506,051-379-3782,"ויס, מלכה and כהן",02-8185-011,מוסן מא ולחת וק וסטיבולום.,מנוע
נגה אשכנזי,124401325,04-2059-306,"אוחיון, הורוביץ and ח'טיב",02-9251-607,מונפרר מיחוצים דלאמת התידם קוויס.,מנוע
אלון יעקובי,383628257,86151105,בן עזרא PLC,25787710,קולורס סת קולהע דס מנת אפאח.,מנוע
הילי שלבי,606143169,02-2840-065,שטרית Ltd,42223950,שעותלשך מנורך חשלו דולור מנכם וחאית.,מנוע
זינב בן דוד-טויטו,490075845,46902906,"עמר, תמיר and אביטל",058-000-1992,נולום וק אדנדום.,מנוע
רום וינר,366243640,45838612,לוי-זידאן,03-6637-636,מנק חשלו מגמש צורק.,מנוע
שחר חלא אבני,756705439,534095618,בוזגלו Group,26661797,בראיט ליץ בעליק רוגצה.,מנוע
עמית אלקיים,495440296,052 578-0342,"לוי, דמרי and מחאמיד",09-8606-463,בלינדו ארווס ומרגשח אט מגמש.,מנוע
מוחמד נעים,183563974,058-8222323,כהן Group,059 451-6425,למטכין וחאית ניסי קרהשק תצטנפל סוליסי השמה.,מנוע
תמר זועבי,606025818,09-6612-209,"מחאמיד, שפירא and ראובן",03-3998-149,וק סתשם אגת קלאצי.,מנוע
לאה אלנבארי,586006210,059 473-2881,"שגיא, בן חיים and פלדמן",04-8693-764,מונחף רוגצה בראיט.,מנוע
אהרון חוג'יראת,961510006,39653870,מזרחי-דגן,586742385,השמה מוסן רוגצה לורם.,מנוע
לאה לוי-חן,199043463,97314251,ממן Inc,49830068,לכנו ניבאה שהכים לתיג קונדימנטום ולתיעם.,מנוע
אביב גדיר,434465707,93075851,דרורי Group,08-5623-437,הועניב מורגם צופעט בורק? ומרגשח.,מנוע
בר נתן,778776064,056 456-4174,יעקב LLC,08-2573-166,למרקוח תצטנפל תוק לתכי מיחוצים.,מנוע
ליב כהן,437717507,21756360,"עובד, חמוד and גרינברג",052-125-0300,לפריקך בלובק צוט מוסן קרהשק.,מנוע
יהונתן פרץ,658582713,051-8233667,יוסף Group,02-9409-555,מנק מונפרד אפאח שמחויט נמרגי.,מנוע
מיכאל מזרחי,807436356,46395368,"אמר, אלמוג and רחמים",03-8772-785,יבש וק לתכי.,מנוע
עבדאללה גולדברג,366792767,057 607-0867,יהודה LLC,572374579,שערש לפמעט אס.,מנוע
יוסף מסרי,163347473,45059276,"בר, כהן and בן חיים",02-5835-288,מגמש בליקרה ניבאה לכנוץ נובש שבצק.,מנוע
אגם כהן,748506228,058-300-0237,"מועלם, מנחם and אלסייד",054-5732585,זותה תצטריק וואל תצטריק אלית.,מנוע
אחמד ביטון,523114412,058 3500631,לוי-קליין,058-3028746,לפתיעם אמט שערש לכנו אדיפיסינג יהול.,מנוע
הדר סלע,923949446,08-9098-527,אלפסי-יעקב,08-6685-394,איבן וואל מונחף.,מנוע
שילה כהן-יוסופוב,513961205,21692201,"יהודה, אברהם and דהאן",051 545 9388,ולחת לרטי בעריר.,מנוע
אבראהים עידן וינברג,469413296,03-9861-491,"אזולאי, תורגמן and אסרף",02-8351-832,חשלו מוסן סוליסי ומעיוט.,מנוע
שמואל זועבי,687634762,83752480,מנדל LLC,09-5019-041,נמרגי תוק למרקוח ולתיעם.,מנוע
חיים כהנא,539349215,03-1975-243,"יוסף, נחמיאס and אברהם",24155840,קוויס ניבאה בלינך מונפרד.,מנוע
יהל לוי,372159143,058-771-6528,גוטמן Group,050 314 1227,קלאצי וסטיבולום יבש.,מנוע
ליאן דגן,563324374,502853323,עיסא-בקר,98023623,בלובק צופעט נונסטי סוליסי לפמעט סילקוף.,מנוע
רינה נתן,122585924,053 0626863,כחלון-כהן,41801036,נון תצטנפל תוק נובש דס.,מנוע
נועם לוי,895395362,80081737,"עוז, עבאס and אשכנזי",09-0925-554,מנק דלאמת אדנדום ערששף שהכים קולהע.,מנוע
הלל דראושה,249596057,545596696,"רוזנברג, דניאל and פז",08-3634-828,ערששף למרקל קלובר.,מנוע
ליבי פלדמן,610946444,054-647-8034,נגר-אביטל,03-4032-925,ערששף אגת תצטריק אדיפיסינג מוסן שבצק.,מנוע
הדר פלג,522031680,555196102,ליפשיץ LLC,053 635-2272,מונפרד טידום מנורך קרהשק דולור אאוגו.,מנוע
לוי מכלוף,796052376,48164593,"אוחיון, שמש and הלוי",97795417,קלובר למרקוח לתיג טידום.,מנוע
